NUMBER,ENGLISH,PAGE,CONCEPTICON_ID,CONCEPTICON_GLOSS
821,take revenge,209,,
822,"resolve, settle (dispute)",209,,
823,"intercede, mediate",209,,
824,compromise,209,,
825,"appease, pacify",209,,
826,judge (v),209,,
827,law,209,,
828,"(be) fair, just",209,,
829,(be) guilty,209,,
830,(be) innocent,209,,
831,punish,210,,
832,to fine,210,,
833,"penalty, punishment",210,,
834,dwell,210,,
835,"inhabitant, resident",210,,
836,country dweller,210,,
837,move away,210,,
838,"country, ethnic area",210,,
839,frontier (of ethnic area),210,,
840,"town, city",210,,
841,market (n),210,,
842,wear clothes,210,,
843,dress (v),210,,
844,undress,210,,
845,hat,211,,
846,loincloth,211,,
847,baby sling,211,,
848,"shoe, sandal",211,,
849,bead,211,218,BEAD
850,"string, thread (beads) (v)",211,,
851,bracelet,211,350,BRACELET
852,necklace,211,,
853,"ankle ring, bangle",211,,
854,earring,211,879,EARRING
855,pierce (ears),211,,
856,"plait, braid (hair)",211,,
857,tattoo(s),211,,
858,"cane, walking stick",211,,
859,"apply (ointment), besmear",211,,
860,razor,212,,
861,"tooth stick, toothbrush",212,,
862,food,212,1112,FOOD
863,oil,212,,
864,"soup, broth",212,,
865,flour,212,,
866,breakfast,212,362,BREAKFAST
867,lunch,212,,
868,evening meal,212,,
869,feast,212,1025,FEAST
870,leftovers,212,,
871,spoil (food) (intr),212,,
872,rice wine,212,,
873,prepare (food to cook),212,,
874,cut (tr),212,,
875,cut open (fruit),213,,
876,slice,213,,
877,peel (v),213,,
878,mix (v),213,,
879,stir,213,,
880,strain (food) (v),213,,
881,pluck (feathers),213,,
882,roast,213,,
883,fry,213,,
884,bake (in ashes),213,,
885,(be) smoked,213,,
886,ferment (alcohol) (v),213,,
887,cooking pot (earthenware),213,,
888,pot (for water),213,,
889,ladle,213,1600,LADLE
890,cooking stone,214,,
891,bowl,214,,
892,cup,214,721,CUP
893,chopsticks,214,,
894,bag,214,,
895,box,214,,
896,basket,214,208,BASKET
897,"bucket, pail",214,,
898,bottle,214,336,BOTTLE
899,"stopper, plug",214,2850,"STOPPER, PLUG"
900,handle,214,,
901,pour,214,,
902,spill (liquid) (tr),214,,
903,take out (from container),214,,
904,fill,214,,
905,(be) empty,214,,
906,(be) open [blossom],215,,
907,open (tr),215,,
908,"close, shut (tr)",215,,
909,stop up (v),215,,
910,cover (v),215,,
911,uncover,215,,
912,store (up),215,,
913,bundle (n),215,,
914,heap (n),215,,
915,heap up (v),215,,
916,wrap up (v),215,,
917,unwrap (v),215,,
918,pack (v),215,,
919,strap (n),215,,
920,rope,215,,
921,knot (n),215,,
922,"fasten, bind (load)",216,,
923,untie,216,,
924,tighten (tr),216,,
925,(be) tight,216,,
926,loosen,216,,
927,hut (in the field),216,,
928,window,216,4498,WINDOW
929,"beam, rafter",216,,
930,floor,216,,
931,room,216,2427,ROOM
932,bedroom,216,,
933,kitchen,216,,
934,sitting room,216,,
936,fence (n),216,,
937,fence in (v),216,,
938,granary (to store rice),217,,
939,well (n),217,,
940,bathing place,217,,
941,"latrine, toilet",217,,
942,garbage dump,217,,
943,garden,217,1192,GARDEN
944,shelter (n),217,,
945,build,217,,
946,thatch (n),217,,
947,plaster (n),217,,
948,paint (n),217,,
949,ladder,217,,
950,chair,217,,
951,table,217,2804,STABLE
952,lamp,217,,
953,fan (n),218,,
954,bell,218,251,BELL
955,ring (bell) (v),218,,
956,"act, do",218,,
957,work (n),218,4530,WORK (N.)
958,"mend, repair",218,,
959,forge (n),218,,
960,hammer,218,1300,HAMMER
961,anvil,218,,
962,bellows,218,254,BELLOWS
963,"lump (clay, mud)",218,,
964,mould (pottery),218,,
965,potter’s kiln,218,,
966,wood,218,,
967,cut down (tree),218,,
968,log,218,1701,LOG
969,hollow out (log),218,,
970,axe,219,156,AXE
971,saw (n),219,,
972,plank (n),219,,
973,knot (in wood),219,,
974,"splinter, sliver (n)",219,,
975,chisel (n),219,,
976,nail (n),219,,
977,thread (n),219,,
978,hem (n),219,,
979,pocket,219,2239,POCKET
980,(be) torn,219,,
981,cloth,219,,
982,rag,219,,
983,broom,219,379,BROOM
984,sweep,219,,
985,polish,219,,
986,draw water,220,,
987,fetch (firewood),220,,
988,rubbish,220,,
989,"cultivate, farm (v)",220,,
990,fertile soil,220,1040,FERTILE (SOIL)
991,(be) barren (of land),220,,
992,clear (land for planting),220,,
993,weed (v),220,,
994,hoe (v),220,,
995,hoe (n),220,,
996,sickle,220,2635,SICKLE
997,"machete, cutlass",220,,
998,harvest season,220,,
999,harvest (rice) (v),220,,
1000,"pick, pluck (fruit)",220,,
1001,"harvest, collect (honey from hive)",221,,
1002,threshing-floor,221,3022,THRESHING FLOOR
1003,"thresh, beat (grain)",221,,
1004,winnow (v),221,,
1005,husk (corn) (v),221,,
1006,"domesticate, tame",221,,
1007,"herd (cattle, sheep) (n)",221,,
1008,"herd, tend (cattle, sheep) (v)",221,,
1009,cattle pen,221,,
1010,"tether (sheep, goats) (v)",221,,
1011,feed (animals),221,,
1012,castrate,221,,
1013,stalk (v),221,,
1014,chase (v),222,,
1015,footprint (human),222,,
1016,poison (on arrow),222,,
1017,head of arrow,222,,
1018,quiver (n),222,,
1019,birdlime (adhesive to catch birds),222,,
1020,trap (n),222,,
1021,set (trap),222,,
1022,trap (animal) (v),222,,
1023,evade,222,,
1024,escape,222,,
1025,wound (animal),222,,
1026,skin (animal) (v),222,,
1027,fish (v),222,,
1028,fish dam,222,,
1029,fishing net,222,,
1030,fishing line,223,,
1031,fishhook,223,,
1032,bait,223,,
1033,"have, possess",223,,
1034,need (v),223,,
1035,"get, obtain",223,,
1036,belongings,223,,
1037,owner,223,2093,OWNER
1038,rich man,223,,
1039,poor man,223,,
1040,(be) rich,223,,
1041,to be poor,223,,
1042,money,223,1737,MONEY
1043,(be) scarce,223,,
1044,(be) expensive,223,,
1045,(be) inexpensive,223,,
1046,price,224,2281,PRICE
1047,"haggle, negotiate a price",224,,
1048,salary,224,2493,SALARY
1049,gift,224,,
1050,hire (v),224,,
1051,beg (for money),224,,
1052,borrow,224,,
1053,lend,224,,
1054,debt,224,759,DEBT
1055,offer (v),224,,
1056,"accept, receive",224,,
1057,refuse,224,,
1058,tax (n),224,,
1059,tribute,224,,
1060,inheritance,224,1509,INHERITANCE
1061,inherit,224,,
1062,"journey, trip (n)",225,,
1063,bicycle,225,,
1064,"travel, go on a trip (v)",225,,
1065,traveler,225,,
1066,driver,225,2415,RIVER
1067,passenger,225,,
1068,wander,225,,
1069,(be) lost,225,,
1070,fork (in path),225,,
1071,"crossroads, intersection",225,,
1072,cross (river),225,,
1073,paddle (n),225,,
1074,paddle (v),225,,
1075,"bale out (canoe, boat)",225,,
1076,capsize,226,,
1077,bring,226,333,BORING
1078,send (something to someone),226,,
1079,carry (in arms),226,,
1080,carry (child) on back,226,,
1081,carry on head,226,,
1082,"load, burden (n)",226,,
1083,load (v),226,,
1084,unload,226,,
1085,war,226,4417,WAR
1086,peace,226,2145,PEACE
1087,army,226,116,ARMY
1088,spy (n),226,,
1089,"spy (v), spy on",226,,
1090,sword,227,2934,SWORD
1091,gun,227,,
1092,shield (n),227,,
1093,"conquer, defeat",227,,
1094,(be) defeated,227,,
1095,"prisoner, captive",227,,
1096,plunder (a town),227,,
1098,music,227,1928,MUSIC
1099,song,227,2730,SONG
1100,hum (v),227,,
1101,dance (n),227,737,DANCE (N.)
1102,big (gest) drum,227,,
1103,flute,227,1103,FLUTE
1105,horn (musical instrument),227,,
1106,play instrument,228,,
1107,blow (horn),228,,
1108,draw (picture),228,,
1109,decorate,228,,
1110,carve,228,,
1111,toys,228,,
1112,tobacco pipe,228,4230,TOBACCO PIPE
1113,tobacco,228,4229,TOBACCO
1114,"awe, reverence (for God)",228,,
1115,God (supreme being),228,,
1116,"demon, evil spirit",228,,
1117,ghost (visible apparition),228,,
1118,"soul, spirit (of living person)",228,,
1119,spirit (of dead person) (invisible),228,,
1120,pray,229,,
1121,blessing,229,,
1122,"divine, prophesy (v)",229,,
1123,prophecy (n),229,,
1124,vision (supernatural),229,,
1125,omen,229,2056,OMEN
1126,witchcraft,229,,
1127,"bewitch, cast spell",229,,
1128,curse (v),229,,
1129,curse (n),229,,
1130,poison (a person) (v),229,,
1131,"amulet, charm, fetish",229,,
1132,protect by charm,229,,
1133,mask (n),230,,
1134,(be) taboo,230,,
1135,exorcise,230,,
1136,sacrifice,230,2475,SACRIFICE
1137,"tradition, custom",230,,
1138,feast (n),230,,
1139,naming ceremony (baby),230,,
1140,marry,230,,
1141,"(be) engaged, (be) betrothed",230,,
1142,brideprice (for bride’s family),230,,
1143,wedding (ceremony),230,,
1144,bride,230,370,BRIDE
1145,groom,231,,
1146,adultery,231,,
1147,divorce (v),231,,
1148,funeral (at occasion of death),231,,
1149,mourning,231,1890,MORNING
1150,"condole, comfort (v)",231,,
1151,corpse,231,665,CORPSE
1152,grave,231,1263,GRAVE
1153,cemetery,231,490,CEMETERY
1154,bull (male cow),231,,
1155,cow (female),231,,
1156,heifer (young cow not had a calf),231,,
1157,steer (castrated male cow),231,,
1158,calf,231,,
1159,herd(of cattle) [group of cattle],232,,
1160,goat,232,1229,GOAT
1161,"he-goat, billy",232,,
1162,"she-goat, nanny goat",232,,
1163,kid (child goat),232,,
1164,sheep,232,2592,SHEEP
1165,ram,232,2356,RAM
1166,ewe,232,,
1167,lamb,232,1606,LAMB
1168,"flock (of sheep, goats)",232,,
1169,rooster (cock),232,,
1170,hen,232,1362,HEN
1171,chick,232,,
1172,turkey,232,4303,TURKEY
1173,guinea fowl,232,1285,GUINEA FOWL
1174,horse,233,1416,HORSE
1175,stallion (male horse),233,,
1176,mare (female horse),233,,
1177,colt,233,,
1178,boar (male pig),233,,
1179,sow (female pig),233,,
1180,piglet,233,2193,PIGLET
1181,puppy,233,,
1182,kitten,233,,
1183,hippopotamus,233,1385,HIPPOPOTAMUS
1185,warthog,233,,
1186,jackal,233,1543,JACKAL
1187,shrew,233,,
1188,mole,233,,
1189,mongoose,234,,
1190,squirrel,234,,
1191,bat,234,212,BAT
1192,wild cat,234,,
1193,leopard,234,,
1194,lion,234,,
1195,hoof,234,1405,HOOF
1196,mane (of horse),234,,
1197,elephantʼs trunk,234,,
1198,"den, lair, hole",234,,
1199,"to bare, show (teeth)",234,,
1200,to growl,234,3566,TO GROWL
1201,"to ruminate, chew cud",234,,
1202,to crow,234,,
1203,dove,234,,
1204,parrot,235,,
1205,heron,235,1373,HERON
1206,kingfisher,235,,
1207,hornbill,235,,
1208,stork (marabou),235,,
1209,owl,235,2091,OWL
1210,hawk,235,,
1211,eagle,235,872,EAGLE
1213,"beak, bill",235,,
1214,comb (of rooster),235,,
1215,crop (of bird),235,,
1216,gizzard,235,,
1217,claw,235,557,CLAW
1218,eggshell,235,,
1219,yolk (of egg),235,,
1220,flock (of birds),236,,
1221,dive,236,,
1222,soar,236,,
1223,"land (v), alight",236,,
1224,perch,236,,
1225,flap the wings,236,,
1226,cackle (as of chicken),236,,
1227,crow (as a rooster) (v),236,,
1228,peck (tr),236,,
1229,lay (eggs),236,,
1230,"incubate, set (on eggs)",236,,
1231,hatch,236,,
1232,catfish,236,,
1233,mudfish (lives in the mud during dry season),236,,
1234,eel,237,,
1235,fish bone,237,1078,FISHBONE
1236,fish-scale,237,,
1237,gill,237,,
1238,fin,237,1058,FIN
1239,crab,237,687,CRAB
1240,shrimp,237,,
1241,clam,237,,
1242,cobra,237,,
1243,puff adder,237,,
1244,python,237,,
1245,viper,237,,
1246,chameleon,237,500,CHAMELEON
1247,gecko,237,,
1248,monitor lizard,237,1879,MONITOR LIZARD
1249,toad,237,4228,TOAD
1250,shell (of turtle),238,,
1251,slither (snake),238,,
1252,hiss,238,,
1253,flea,238,1095,FLEA
1254,bedbug,238,,
1255,maggot (in rotten meat),238,,
1256,ant,238,91,ANT
1257,"army ant, soldier ant",238,,
1258,flying ant,238,,
1259,dung beetle,238,861,DUNG-BEETLE
1260,grasshopper,238,,
1261,cricket,238,,
1262,locust,238,1700,LOCUST
1263,praying mantis,238,,
1264,caterpillar,238,472,CATERPILLAR
1265,centipede,239,,
1266,millipede,239,,
1267,dragonfly,239,836,DRAGONFLY
1268,moth,239,1897,MOTH
1269,antenna,239,,
1270,sting (v),239,,
1271,stinger dard,239,,
1272,cocoon,239,,
1273,termite hill,239,,
1274,beehive,239,241,BEEHIVE
1275,beeswax,239,,
1276,honey,239,1396,HONEY
1277,swarm (n),239,,
1278,teak tree,239,,
1279,fig tree,239,,
1280,tamarind tree,239,,
1281,oil palm,239,,
1282,coconut palm,240,,
1283,bush,240,,
1284,weeds,240,,
1285,trunk (of tree),240,4289,TRUNK (OF A TREE)
1286,sap,240,,
1287,stump,240,,
1288,"bulb, tuber",240,,
1289,"stem, stalk (of corn, millet, etc.)",240,,
1290,"silk, hair (of corn)",240,,
1291,blade (of grass),240,,
1292,bud,240,,
1293,shoot (new plant),240,,
1294,vine,240,,
1295,tendril,240,,
1296,juice,240,1568,JUICE
1297,regime/hand (of bananas),240,,
1298,corn cob,241,,
1299,"kernel (of corn, maize)",241,,
1300,skin (of fruit),241,,
1301,shell (of groundnut),241,,
1302,corn husk (n),241,,
1303,chaff,241,496,CHAFF
1304,lemon,241,1646,LEMON
1305,orange,241,,
1306,papaya,241,,
1307,pineapple,241,2205,PINEAPPLE
1308,guava,241,1279,GUAVA
1310,fig,241,1053,FIG
1311,jackfruit (fruit),241,,
1312,tomato,242,,
1313,onion,242,2063,ONION
1314,okra,242,,
1315,"cocoyam, taro",242,,
1316,yam,242,4540,YAM
1317,sweet potato,242,,
1318,potato,242,2267,POTATO
1319,"groundnut, peanut",242,,
1320,sesame seed,242,,
1321,coffee,242,591,COFFEE
1322,tea,242,2975,TEA
1323,rubber,242,2445,RUBBER
1324,cotton,242,668,COTTON
1325,grow (of plants),242,,
1326,sprout (v),242,,
1327,(be) unripe,242,,
1328,"(be) shrivelled, (be) wrinkled (fruit)",242,,
1329,wither (plant),243,,
1330,blight (n),243,1668,LIGHT (N.)
1331,world,243,4531,WORLD
1332,place,243,2214,PLACE
1333,desert,243,,
1334,"ground, land",243,,
1335,"summit, highest point",243,,
1336,cliff,243,,
1337,valley,243,,
1338,ditch,243,,
1339,hole,243,,
1340,crevice,243,,
1341,gravel,243,1263,GRAVE
1342,clay,243,559,CLAY
1343,copper,244,655,COPPER
1344,rust (n),244,2459,RUST (N.)
1345,lake,244,1605,LAKE
1346,marsh,244,,
1347,spring,244,,
1348,waterfall,244,,
1349,"current (river, stream)",244,,
1350,riverbed (dry),244,,
1351,river bank,244,,
1352,bridge,244,372,BRIDGE
1353,island,244,1539,ISLAND
1354,beach,244,,
1355,wave,244,4435,WAVE
1356,bubble,244,,
1357,foam,244,1108,FOAM
1358,slime (organic),244,,
1359,flame,245,,
1360,candle,245,447,CANDLE
1361,spark,245,2749,SPARK
1362,fireplace,245,1070,FIREPLACE
1363,charcoal,245,,
1364,air (breathed),245,,
1365,full moon,245,,
1366,new moon,245,,
1367,eclipse (moon),245,,
1368,"shooting star, meteor",245,,
1369,"noise, sound (n)",245,,
1370,drizzle,245,,
1371,hail,245,1295,HAIL
1372,flood (n),245,,
1373,"drought, famine",245,,
1374,season,245,,
1375,rainy season,246,,
1376,hot weather [hot season],246,,
1377,cold weather [cold season],246,,
1378,light,246,,
1379,sunshine,246,,
1380,moonlight,246,,
1381,darkness,246,,
1382,time,246,3038,TIME
1383,now,246,2015,NOW
1384,before,246,245,BEFORE
1385,after,246,38,AFTER
1386,early,246,877,EARLY
1387,late,246,1621,LATE
1388,once,246,,
1389,again,246,41,AGAIN
1390,sometimes,247,,
1391,often,247,2044,OFTEN
1392,usually,247,,
1393,always,247,68,ALWAYS
1394,never,247,,
1395,"spend time, pass time",247,,
1396,month,247,1884,MONTH
1397,today,247,4231,TODAY
1398,day before yesterday,247,,
1399,day after tomorrow,247,3002,THE DAY AFTER TOMORROW
1400,olden times,247,,
1401,dawn (before sunrise),247,,
1402,sunrise,247,,
1403,afternoon,248,,
1404,sunset,248,2904,SUNSET
1405,"dusk, twilight (after sunset)",248,,
1406,daytime,248,,
1407,thing,248,3011,THING
1408,piece,248,2190,PIECE
1409,top,248,,
1410,bottom,248,337,BOTTOM
1411,front (of something),248,,
1412,back (of something),248,,
1413,side (of something),248,,
1414,middle,248,1830,MIDDLE
1415,edge(n),248,,
1416,point (n),248,,
1417,bump (n),249,,
1418,spot (n),249,,
1419,move (intr),249,,
1420,movement,249,,
1421,go,249,,
1422,approach (v),249,,
1423,arrive,249,,
1424,"remain, stay",249,,
1425,leave (place),249,,
1426,"go round, detour",249,,
1427,"come (or go) out, exit (v)",249,,
1428,"ascend, go up",249,,
1429,"descend, go down",249,,
1430,"swing (v), go back and forth",249,,
1431,slide,249,,
1432,roll,250,,
1433,"spread (disease, fire)",250,,
1434,burst,250,,
1435,speed (n),250,,
1436,"hasten, hurry",250,,
1437,"snatch, seize",250,,
1438,catch (object in air),250,,
1439,pick up,250,,
1440,hold,250,,
1441,lower (tr),250,,
1442,drop (tr),250,,
1443,"knock down, knock over (an object)",250,,
1444,turn over (tr),250,,
1445,drag,251,,
1446,steer (v),251,,
1447,"overtake, pass (tr)",251,,
1448,surround,251,,
1449,twist,251,,
1450,fold (v),251,,
1451,coil (rope) (v),251,,
1452,hang up,251,,
1453,spread out (maize) (tr),251,,
1454,stretch,251,,
1455,"bump (v), knock against",251,,
1456,scrape (v),251,,
1457,scratch (v),251,,
1458,pierce,251,2190,PIECE
1459,tear (tr),252,,
1460,strip off (bark),252,,
1461,shake (tr),252,,
1462,crush (tr),252,,
1463,"create, make",252,,
1464,"alter, change (tr)",252,,
1465,break (tr),252,,
1466,"destroy, spoil",252,,
1467,"join, put together",252,,
1468,accumulate,252,,
1469,gather,252,,
1470,"divide, separate (tr)",252,,
1471,scatter (tr),252,,
1472,"throw away, get rid of",252,,
1473,"put, place, set",253,,
1474,leave (something somewhere),253,,
1475,"keep, save",253,,
1476,hide (tr),253,,
1477,lose (tr),253,,
1478,look for,253,,
1479,find,253,,
1480,blow (of wind) (v),253,,
1481,blow down,253,,
1482,blow away (intr),253,,
1483,fan (v),253,,
1484,drip,253,,
1485,leak (v),253,,
1486,sprinkle,253,,
1487,smear (tr),254,,
1488,dip,254,,
1489,soak,254,,
1490,wring out,254,,
1491,shine,254,,
1492,fade,254,,
1493,light (fire) (v),254,,
1494,"burn (intr), blaze",254,,
1495,melt (intr),254,,
1496,singe,254,,
1497,begin,254,,
1498,beginning,254,247,BEGINNING
1499,"continue, resume",254,,
1500,end (n),254,,
1501,"cease, stop",255,,
1502,"finish, complete (v)",255,,
1503,(be) high,255,,
1504,(be) low,255,,
1505,lengthen,255,,
1506,shorten,255,,
1507,widen,255,,
1508,deepen,255,,
1509,(be) flat,255,,
1510,flatten,255,,
1511,(be) hollow,255,,
1512,swell (intr),255,,
1513,straighten,255,,
1514,(be) crooked,255,,
1515,weight,255,898,EIGHT
1516,sharpen (knife),256,,
1517,"sharpen, bring to point (arrow)",256,,
1518,make smooth,256,,
1519,harden,256,,
1520,soften,256,2044,OFTEN
1521,(be) slippery,256,,
1522,(be) sticky,256,,
1523,colour,256,428,COLOUR
1524,(be) blue,256,,
1525,(be) brown,256,,
1526,(be) dark (colour),256,,
1527,(be) light (colour),256,,
1528,taste (n),256,2970,TASTE (N.)
1529,(be) salty,256,,
1530,"odour, smell (n)",257,,
1531,"stink, smell (bad)",257,,
1532,(be) able (to),257,,
1533,strength,257,2866,STRENGTH
1534,"(be) great, (be) powerful",257,,
1535,"splendour, glory",257,,
1536,truth,257,4292,TRUTH
1537,(be) beautiful,257,,
1538,handsome,257,,
1539,(be) ugly,257,,
1540,(be) clean,257,,
1541,(be) important,257,,
1542,"(be) amusing, funny",257,,
1543,eleven (11),258,,
1544,twelve (12),258,,
1545,thirteen (13),258,,
1546,fourteen (14),258,,
1547,fifteen (15),258,,
1548,sixteen (16),258,,
1549,seventeen (17),258,,
1550,eighteen (18),258,,
1551,nineteen (19),258,,
1552,twenty-one (21),258,,
1553,twenty-two (22),258,,
1554,twenty-three (23),258,,
1555,twenty-four (24),258,,
1556,twenty-five (25),258,,
1557,twenty-six (26),258,,
1558,twenty-seven (27),259,,
1559,twenty-eight (28),259,,
1560,twenty-nine (29),259,,
1561,thirty (30),259,,
1562,forty (40),259,,
1563,fifty (50),259,,
1564,sixty (60),259,,
1565,seventy (70),259,,
1566,eighty (80),259,,
1567,ninety (90),259,,
1568,two hundred (200),259,,
1569,five hundred (500),259,,
1570,two thousand (2000),259,,
1571,(be) first,259,,
1572,(be) second,259,,
1573,(be) third,260,,
1574,(be) last,260,,
1575,add,260,,
1576,"subtract, take away",260,,
1577,increase (intr),260,,
1578,decrease (intr),260,,
1579,arrange,260,,
1580,(be) equal,260,,
1581,(be) abundant,260,,
1582,enough,260,925,ENOUGH
1583,lack (v),260,,
1584,(be) used up,260,,
1585,everybody,260,,
1586,everything,261,,
1587,somebody,261,,
1588,something,261,,
1589,everywhere,261,,
1590,nobody,261,,
1591,nothing,261,,
1592,here,261,1369,HERE
1593,there,261,3004,THERE
1594,up,261,,
1595,down,261,,
1596,forward (direction),261,,
1597,backward (direction),261,,
1598,"over, above",261,,
1599,"under, below",261,4325,"UNDER, BELOW"
1600,"in front of, before",262,,
1601,behind,262,249,BEHIND
1602,beside,262,,
1603,inside,262,1518,INSIDE
1604,outside,262,,
1605,between,262,,
1606,towards,262,,
1607,away from,262,,
1608,with,262,,
1609,other (men),262,,
1610,which (one)?,262,,
1611,why?,262,,
1612,how?,262,,
1613,and,262,,
1614,if,262,1468,IF
1615,but,262,,
1616,so,262,,
1617,because,263,,
1618,perhaps,263,,
1619,"really, truly",263,,
1620,well (adv),263,,
1621,poorly,263,,
1622,only,263,,
1623,yes,263,4547,YES
1624,no,263,1994,NO
1625,nature,263,1956,NATURE
1626,volcano,263,,
1627,donate,263,,
1628,greedy,263,1270,GREEDY
1629,humble,263,,
1630,concentrate,263,,
1631,villager,263,4389,VILLAGE
1632,head-villager,263,,
1633,"clear, pure (water)",264,,
1634,car,264,,
1635,motor bike,264,,
1636,bike,264,,
1637,air plane,264,49,AIRPLANE
1638,ship,264,,
1639,valuable,264,,
1640,cheap,264,509,CHEAP
1641,sympathy,264,,
1642,empathy,264,,
1643,vertical,264,,
1644,horizontal,264,,
1645,sugar,264,2892,SUGAR
1646,holiday,264,1391,HOLIDAY
1647,to fart,264,,
1648,crash,264,,
1649,accident,265,16,ACCIDENT
1650,pillar,265,2197,PILLAR
